booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
BK100028,16558,2024-04-29,2024-05-01,2024-05-04,4,RT2,MakeMyTrip,2,Checked Out,7777.54,7777.54
BK100029,16558,2024-04-24,2024-05-01,2024-05-02,3,RT2,Booking.com,4,Checked Out,7672.53,7672.53
BK100030,16558,2024-04-27,2024-05-01,2024-05-04,2,RT2,MakeMyTrip,4,Checked Out,7392.75,7392.75
BK100031,16558,2024-04-18,2024-05-01,2024-05-04,2,RT2,Logtrip,,Cancelled,7254.01,725.4
BK100032,16558,2024-04-19,2024-05-01,2024-05-04,2,RT2,Booking.com,4,Checked Out,7153.36,7153.36
BK100033,16558,2024-04-22,2024-05-01,2024-05-02,4,RT2,MakeMyTrip,5,Checked Out,7520.63,7520.63
BK100034,16558,2024-04-23,2024-05-01,2024-05-04,1,RT2,Direct Offline,,No Show,7207.26,3603.63
BK100035,16558,2024-04-26,2024-05-01,2024-05-04,1,RT2,JourneyHub,2,Checked Out,7427.19,7427.19
BK100036,16558,2024-04-24,2024-05-01,2024-05-04,4,RT2,JourneyHub,4,Checked Out,7347.92,7347.92
BK100037,16558,2024-04-18,2024-05-01,2024-05-04,3,RT2,MakeMyTrip,,Cancelled,7764.95,776.5
BK100038,16558,2024-04-27,2024-05-01,2024-05-02,4,RT2,Logtrip,3,Checked Out,7305.11,7305.11
BK100039,16558,2024-04-26,2024-05-01,2024-05-02,2,RT2,MakeMyTrip,5,Checked Out,7248.18,7248.18
BK100040,16558,2024-04-18,2024-05-01,2024-05-03,2,RT2,Booking.com,3,Checked Out,7153.86,7153.86
BK100041,16558,2024-04-20,2024-05-01,2024-05-04,3,RT2,MakeMyTrip,,Cancelled,7741.69,774.17
BK100042,16558,2024-04-26,2024-05-01,2024-05-02,4,RT2,Tripster,5,Checked Out,7800.78,7800.78
BK100043,16558,2024-04-17,2024-05-01,2024-05-02,4,RT2,Logtrip,4,Checked Out,7193.61,7193.61
BK100044,16558,2024-04-24,2024-05-01,2024-05-02,2,RT2,MakeMyTrip,2,Checked Out,7167.52,7167.52
BK100045,16558,2024-04-23,2024-05-01,2024-05-03,3,RT2,Booking.com,,Cancelled,7620.84,762.08
BK100046,16558,2024-04-20,2024-05-01,2024-05-03,3,RT3,Logtrip,3,Checked Out,11389.04,11389.04
BK100047,16558,2024-04-30,2024-05-01,2024-05-02,1,RT3,Direct Offline,,Cancelled,10912.52,1091.25
BK100048,16558,2024-04-20,2024-05-01,2024-05-03,3,RT3,Tripster,3,Checked Out,10461.77,10461.77
BK100049,16558,2024-04-23,2024-05-01,2024-05-04,1,RT3,MakeMyTrip,2,Checked Out,11488.15,11488.15
BK100050,16558,2024-04-30,2024-05-01,2024-05-04,4,RT3,Booking.com,5,Checked Out,11133.52,11133.52
BK100051,16558,2024-04-22,2024-05-01,2024-05-02,4,RT3,MakeMyTrip,5,Checked Out,10830.31,10830.31
BK100052,16558,2024-04-30,2024-05-01,2024-05-03,1,RT3,Tripster,,Cancelled,11289.21,1128.92
BK100053,16558,2024-04-22,2024-05-01,2024-05-02,3,RT3,MakeMyTrip,,Cancelled,10730.9,1073.09
BK100054,16558,2024-04-21,2024-05-01,2024-05-04,1,RT3,Booking.com,3,Checked Out,11090.07,11090.07
BK100055,16558,2024-04-21,2024-05-01,2024-05-02,4,RT3,MakeMyTrip,4,Checked Out,10506.22,10506.22
BK100056,16558,2024-04-30,2024-05-01,2024-05-02,3,RT4,MakeMyTrip,4,Checked Out,17918.47,17918.47
BK100057,16558,2024-04-30,2024-05-01,2024-05-03,1,RT4,Direct Online,4,Checked Out,17713.11,17713.11
BK100058,16558,2024-04-28,2024-05-01,2024-05-04,4,RT4,MakeMyTrip,,Cancelled,18001.17,1800.12
BK100059,16558,2024-04-21,2024-05-01,2024-05-03,3,RT4,MakeMyTrip,5,Checked Out,19170.66,19170.66
BK100060,16559,2024-04-18,2024-05-01,2024-05-02,2,RT1,Logtrip,5,Checked Out,4407.49,4407.49
BK100061,16559,2024-04-18,2024-05-01,2024-05-02,3,RT1,Tripster,4,Checked Out,4279.99,4279.99
BK100062,16559,2024-04-29,2024-05-01,2024-05-03,4,RT1,MakeMyTrip,2,Checked Out,4497.06,4497.06
BK100063,16559,2024-04-21,2024-05-01,2024-05-04,4,RT1,Direct Online,2,Checked Out,4280.23,4280.23
BK100064,16559,2024-04-28,2024-05-01,2024-05-02,3,RT1,MakeMyTrip,2,Checked Out,4594.47,4594.47
BK100065,16559,2024-04-19,2024-05-01,2024-05-04,2,RT1,Tripster,4,Checked Out,4352.62,4352.62
BK100066,16559,2024-04-22,2024-05-01,2024-05-03,2,RT1,Tripster,,Cancelled,4563.53,456.35
BK100067,16559,2024-04-20,2024-05-01,2024-05-04,2,RT1,MakeMyTrip,4,Checked Out,4438.2,4438.2
BK100068,16559,2024-04-25,2024-05-01,2024-05-04,1,RT1,Booking.com,4,Checked Out,4473.47,4473.47
BK100069,16559,2024-04-25,2024-05-01,2024-05-04,3,RT1,Logtrip,2,Checked Out,4431.51,4431.51
BK100070,16559,2024-04-26,2024-05-01,2024-05-02,3,RT1,JourneyHub,4,Checked Out,4301.23,4301.23
BK100071,16559,2024-04-28,2024-05-01,2024-05-04,3,RT1,Tripster,5,Checked Out,4353.43,4353.43
BK100072,16559,2024-04-25,2024-05-01,2024-05-04,1,RT1,MakeMyTrip,4,Checked Out,4664.47,4664.47
BK100073,16559,2024-04-25,2024-05-01,2024-05-04,3,RT1,Direct Offline,4,Checked Out,4549.91,4549.91
BK100074,16559,2024-04-27,2024-05-01,2024-05-03,1,RT1,Tripster,5,Checked Out,4462.18,4462.18
BK100075,16559,2024-04-27,2024-05-01,2024-05-03,2,RT1,MakeMyTrip,,Cancelled,4441.92,444.19
BK100076,16559,2024-04-26,2024-05-01,2024-05-02,3,RT1,MakeMyTrip,3,Checked Out,4581.79,4581.79
BK100077,16559,2024-04-22,2024-05-01,2024-05-02,3,RT1,MakeMyTrip,,Cancelled,4374.47,437.45
BK100078,16559,2024-04-24,2024-05-01,2024-05-03,4,RT1,Logtrip,5,Checked Out,4454.48,4454.48
BK100079,16559,2024-04-19,2024-05-01,2024-05-02,4,RT2,MakeMyTrip,4,Checked Out,7206.11,7206.11
BK100080,16559,2024-04-22,2024-05-01,2024-05-02,3,RT2,MakeMyTrip,2,Checked Out,7140.27,7140.27
BK100081,16559,2024-04-17,2024-05-01,2024-05-03,1,RT2,MakeMyTrip,,Cancelled,7410.35,741.04
BK100082,16559,2024-04-28,2024-05-01,2024-05-02,2,RT2,Direct Offline,5,Checked Out,7771.36,7771.36
BK100083,16559,2024-04-26,2024-05-01,2024-05-02,2,RT2,Logtrip,,Cancelled,7587.28,758.73
BK100084,16559,2024-04-20,2024-05-01,2024-05-02,4,RT2,Booking.com,4,Checked Out,7580.42,7580.42
BK100085,16559,2024-04-22,2024-05-01,2024-05-02,2,RT2,Logtrip,,Cancelled,7666.86,766.69
BK100086,16559,2024-04-24,2024-05-01,2024-05-04,3,RT2,MakeMyTrip,4,Checked Out,7188.67,7188.67
BK100087,16559,2024-04-24,2024-05-01,2024-05-02,4,RT2,Direct Online,4,Checked Out,7771.81,7771.81
BK100088,16559,2024-04-22,2024-05-01,2024-05-04,4,RT2,Logtrip,4,Checked Out,7620.08,7620.08
BK100089,16559,2024-04-27,2024-05-01,2024-05-04,2,RT2,Tripster,3,Checked Out,7261.45,7261.45
BK100090,16559,2024-04-21,2024-05-01,2024-05-04,1,RT2,MakeMyTrip,,Cancelled,7812.5,781.25
BK100091,16559,2024-04-30,2024-05-01,2024-05-04,2,RT2,MakeMyTrip,2,Checked Out,7277.84,7277.84
BK100092,16559,2024-04-29,2024-05-01,2024-05-04,3,RT2,Logtrip,4,Checked Out,7605.45,7605.45
BK100093,16559,2024-04-18,2024-05-01,2024-05-03,2,RT2,Tripster,2,Checked Out,7306.69,7306.69
BK100094,16559,2024-04-29,2024-05-01,2024-05-04,1,RT2,Direct Offline,5,Checked Out,7575.41,7575.41
BK100095,16559,2024-04-17,2024-05-01,2024-05-03,1,RT3,JourneyHub,4,Checked Out,11237.79,11237.79
BK100096,16559,2024-04-28,2024-05-01,2024-05-04,1,RT3,Logtrip,,Cancelled,11297.17,1129.72
BK100097,16559,2024-04-29,2024-05-01,2024-05-03,3,RT3,Booking.com,,Cancelled,11156.55,1115.65
BK100098,16559,2024-04-19,2024-05-01,2024-05-02,3,RT3,Tripster,4,Checked Out,11239.72,11239.72
BK100099,16559,2024-04-26,2024-05-01,2024-05-04,1,RT3,Logtrip,5,Checked Out,10650.56,10650.56
BK100100,16559,2024-04-28,2024-05-01,2024-05-03,4,RT3,Booking.com,5,Checked Out,11347.45,11347.45
BK100101,16559,2024-04-26,2024-05-01,2024-05-03,4,RT4,Booking.com,3,Checked Out,17782.37,17782.37
BK100102,16559,2024-04-30,2024-05-01,2024-05-04,2,RT4,MakeMyTrip,3,Checked Out,18207.19,18207.19
BK100103,16559,2024-04-22,2024-05-01,2024-05-04,4,RT4,Booking.com,,Cancelled,17766.0,1776.6
BK100104,16560,2024-04-30,2024-05-01,2024-05-02,3,RT1,JourneyHub,5,Checked Out,4636.68,4636.68
BK100105,16560,2024-04-17,2024-05-01,2024-05-02,4,RT1,Direct Offline,3,Checked Out,4465.68,4465.68
BK100106,16560,2024-04-18,2024-05-01,2024-05-04,3,RT1,MakeMyTrip,4,Checked Out,4401.04,4401.04
BK100107,16560,2024-04-28,2024-05-01,2024-05-04,1,RT1,Direct Offline,3,Checked Out,4304.82,4304.82
BK100108,16560,2024-04-26,2024-05-01,2024-05-03,4,RT1,MakeMyTrip,1,Checked Out,4498.35,4498.35
BK100109,16560,2024-04-28,2024-05-01,2024-05-02,3,RT1,MakeMyTrip,4,Checked Out,4495.64,4495.64
BK100110,16560,2024-04-19,2024-05-01,2024-05-04,3,RT1,Booking.com,4,Checked Out,4717.87,4717.87
BK100111,16560,2024-04-29,2024-05-01,2024-05-02,3,RT1,Logtrip,4,Checked Out,4718.27,4718.27
BK100112,16560,2024-04-26,2024-05-01,2024-05-03,4,RT1,Direct Online,2,Checked Out,4503.83,4503.83
BK100113,16560,2024-04-21,2024-05-01,2024-05-04,4,RT1,Booking.com,,Cancelled,4666.02,466.6
BK100114,16560,2024-04-21,2024-05-01,2024-05-02,3,RT1,Tripster,5,Checked Out,4626.75,4626.75
BK100115,16560,2024-04-17,2024-05-01,2024-05-04,4,RT1,MakeMyTrip,5,Checked Out,4634.61,4634.61
BK100116,16560,2024-04-17,2024-05-01,2024-05-02,1,RT1,Tripster,5,Checked Out,4488.98,4488.98
BK100117,16560,2024-04-27,2024-05-01,2024-05-03,3,RT1,Booking.com,4,Checked Out,4379.72,4379.72
BK100118,16560,2024-04-17,2024-05-01,2024-05-03,1,RT1,Direct Offline,4,Checked Out,4395.53,4395.53
BK100119,16560,2024-04-24,2024-05-01,2024-05-03,3,RT1,Booking.com,5,Checked Out,4514.57,4514.57
BK100120,16560,2024-04-22,2024-05-01,2024-05-04,4,RT1,MakeMyTrip,3,Checked Out,4505.79,4505.79
BK100121,16560,2024-04-27,2024-05-01,2024-05-03,2,RT1,MakeMyTrip,5,Checked Out,4591.41,4591.41
BK100122,16560,2024-04-30,2024-05-01,2024-05-02,3,RT1,Booking.com,5,Checked Out,4364.38,4364.38
BK100123,16560,2024-04-30,2024-05-01,2024-05-02,1,RT2,Logtrip,5,Checked Out,7787.9,7787.9
BK100124,16560,2024-04-17,2024-05-01,2024-05-03,4,RT2,Booking.com,,No Show,7746.93,3873.47
BK100125,16560,2024-04-19,2024-05-01,2024-05-02,2,RT2,Booking.com,4,Checked Out,7696.2,7696.2
BK100126,16560,2024-04-22,2024-05-01,2024-05-04,2,RT2,MakeMyTrip,,No Show,7244.24,3622.12
BK100127,16560,2024-04-29,2024-05-01,2024-05-03,2,RT2,Direct Online,3,Checked Out,7712.15,7712.15
BK100128,16560,2024-04-25,2024-05-01,2024-05-03,3,RT2,Logtrip,4,Checked Out,7836.13,7836.13
BK100129,16560,2024-04-26,2024-05-01,2024-05-03,3,RT2,Booking.com,,Cancelled,7250.07,725.01
BK100130,16560,2024-04-18,2024-05-01,2024-05-04,4,RT2,Logtrip,3,Checked Out,7512.17,7512.17
BK100131,16560,2024-04-30,2024-05-01,2024-05-03,4,RT2,MakeMyTrip,4,Checked Out,7164.71,7164.71
BK100132,16560,2024-04-30,2024-05-01,2024-05-03,2,RT2,Booking.com,,No Show,7845.03,3922.51
BK100133,16560,2024-04-18,2024-05-01,2024-05-03,2,RT2,MakeMyTrip,5,Checked Out,7864.28,7864.28
BK100134,16560,2024-04-22,2024-05-01,2024-05-03,4,RT2,Booking.com,,Cancelled,7721.83,772.18
BK100135,16560,2024-04-28,2024-05-01,2024-05-02,1,RT2,Tripster,4,Checked Out,7690.6,7690.6
BK100136,16560,2024-04-29,2024-05-01,2024-05-02,2,RT2,Booking.com,4,Checked Out,7158.96,7158.96
BK100137,16560,2024-04-28,2024-05-01,2024-05-03,4,RT2,Booking.com,4,Checked Out,7562.45,7562.45
BK100138,16560,2024-04-30,2024-05-01,2024-05-03,3,RT2,MakeMyTrip,4,Checked Out,7824.51,7824.51
BK100139,16560,2024-04-24,2024-05-01,2024-05-03,2,RT2,Tripster,4,Checked Out,7724.75,7724.75
BK100140,16560,2024-04-23,2024-05-01,2024-05-04,3,RT3,Direct Offline,4,Checked Out,11270.25,11270.25
BK100141,16560,2024-04-26,2024-05-01,2024-05-04,1,RT3,Direct Offline,4,Checked Out,10655.57,10655.57
BK100142,16560,2024-04-29,2024-05-01,2024-05-04,2,RT3,Logtrip,,Cancelled,10500.35,1050.04
BK100143,16560,2024-04-29,2024-05-01,2024-05-02,1,RT3,Direct Online,5,Checked Out,11352.46,11352.46
BK100144,16560,2024-04-21,2024-05-01,2024-05-02,1,RT3,JourneyHub,3,Checked Out,11363.28,11363.28
BK100145,16560,2024-04-29,2024-05-01,2024-05-02,1,RT3,Booking.com,4,Checked Out,11234.68,11234.68
BK100146,16560,2024-04-18,2024-05-01,2024-05-03,1,RT3,Tripster,4,Checked Out,11009.9,11009.9
BK100147,16560,2024-04-26,2024-05-01,2024-05-03,1,RT3,JourneyHub,3,Checked Out,11146.54,11146.54
BK100148,16560,2024-04-30,2024-05-01,2024-05-03,3,RT3,Tripster,4,Checked Out,10703.25,10703.25
BK100149,16560,2024-04-30,2024-05-01,2024-05-04,4,RT3,Direct Offline,4,Checked Out,10603.74,10603.74
BK100150,16560,2024-04-29,2024-05-01,2024-05-03,3,RT4,Logtrip,5,Checked Out,17989.76,17989.76
BK100151,16560,2024-04-24,2024-05-01,2024-05-04,3,RT4,Direct Offline,,Cancelled,18409.32,1840.93
BK100152,16560,2024-04-17,2024-05-01,2024-05-02,4,RT4,Booking.com,4,Checked Out,18517.06,18517.06
BK100153,16561,2024-04-17,2024-05-01,2024-05-02,4,RT1,MakeMyTrip,3,Checked Out,4407.19,4407.19
BK100154,16561,2024-04-30,2024-05-01,2024-05-03,4,RT1,Booking.com,5,Checked Out,4325.57,4325.57
BK100155,16561,2024-04-19,2024-05-01,2024-05-03,4,RT1,Logtrip,5,Checked Out,4377.88,4377.88
BK100156,16561,2024-04-28,2024-05-01,2024-05-02,3,RT1,Logtrip,,Cancelled,4558.14,455.81
BK100157,16561,2024-04-23,2024-05-01,2024-05-02,4,RT1,Booking.com,3,Checked Out,4452.14,4452.14
BK100158,16561,2024-04-25,2024-05-01,2024-05-03,2,RT1,MakeMyTrip,1,Checked Out,4314.31,4314.31
BK100159,16561,2024-04-29,2024-05-01,2024-05-04,4,RT1,Booking.com,4,Checked Out,4283.01,4283.01
BK100160,16561,2024-04-30,2024-05-01,2024-05-03,3,RT1,Logtrip,2,Checked Out,4474.1,4474.1
BK100161,16561,2024-04-17,2024-05-01,2024-05-04,3,RT1,MakeMyTrip,,Cancelled,4667.51,466.75
BK100162,16561,2024-04-29,2024-05-01,2024-05-02,2,RT1,Logtrip,4,Checked Out,4388.03,4388.03
BK100163,16561,2024-04-23,2024-05-01,2024-05-02,4,RT1,MakeMyTrip,1,Checked Out,4634.3,4634.3
BK100164,16561,2024-04-26,2024-05-01,2024-05-04,4,RT1,Booking.com,,Cancelled,4563.91,456.39
BK100165,16561,2024-04-28,2024-05-01,2024-05-02,1,RT1,Booking.com,,Cancelled,4328.29,432.83
BK100166,16561,2024-04-22,2024-05-01,2024-05-04,4,RT1,MakeMyTrip,4,Checked Out,4640.59,4640.59
BK100167,16561,2024-04-18,2024-05-01,2024-05-04,2,RT1,Booking.com,3,Checked Out,4604.21,4604.21
BK100168,16561,2024-04-24,2024-05-01,2024-05-03,1,RT1,Logtrip,,Cancelled,4573.59,457.36
BK100169,16561,2024-04-18,2024-05-01,2024-05-02,3,RT1,Booking.com,4,Checked Out,4387.44,4387.44
BK100170,16561,2024-04-17,2024-05-01,2024-05-03,4,RT1,Direct Offline,1,Checked Out,4309.58,4309.58
BK100171,16561,2024-04-29,2024-05-01,2024-05-02,4,RT2,MakeMyTrip,4,Checked Out,7327.53,7327.53
BK100172,16561,2024-04-23,2024-05-01,2024-05-04,4,RT2,Tripster,1,Checked Out,7745.84,7745.84
BK100173,16561,2024-04-22,2024-05-01,2024-05-02,4,RT2,Tripster,,Cancelled,7376.62,737.66
BK100174,16561,2024-04-28,2024-05-01,2024-05-04,1,RT2,MakeMyTrip,3,Checked Out,7817.57,7817.57
BK100175,16561,2024-04-22,2024-05-01,2024-05-04,1,RT2,Booking.com,3,Checked Out,7162.87,7162.87
BK100176,16561,2024-04-17,2024-05-01,2024-05-03,1,RT2,MakeMyTrip,,No Show,7568.88,3784.44
BK100177,16561,2024-04-18,2024-05-01,2024-05-04,1,RT2,Direct Online,1,Checked Out,7811.05,7811.05
BK100178,16561,2024-04-28,2024-05-01,2024-05-04,4,RT2,Booking.com,4,Checked Out,7430.54,7430.54
BK100179,16561,2024-04-25,2024-05-01,2024-05-04,1,RT2,Booking.com,4,Checked Out,7815.52,7815.52
BK100180,16561,2024-04-24,2024-05-01,2024-05-04,3,RT2,Direct Online,5,Checked Out,7213.04,7213.04
BK100181,16561,2024-04-20,2024-05-01,2024-05-04,1,RT2,MakeMyTrip,,Cancelled,7321.71,732.17
BK100182,16561,2024-04-23,2024-05-01,2024-05-03,4,RT2,Booking.com,,Cancelled,7710.77,771.08
BK100183,16561,2024-04-30,2024-05-01,2024-05-03,1,RT3,JourneyHub,5,Checked Out,10575.92,10575.92
BK100184,16561,2024-04-24,2024-05-01,2024-05-02,4,RT3,Tripster,4,Checked Out,11051.64,11051.64
BK100185,16561,2024-04-23,2024-05-01,2024-05-02,4,RT3,MakeMyTrip,3,Checked Out,11171.32,11171.32
BK100186,16561,2024-04-26,2024-05-01,2024-05-04,2,RT3,MakeMyTrip,,No Show,10491.98,5245.99
BK100187,16561,2024-04-17,2024-05-01,2024-05-02,3,RT3,MakeMyTrip,4,Checked Out,10904.33,10904.33
BK100188,16561,2024-04-25,2024-05-01,2024-05-03,1,RT3,MakeMyTrip,,Cancelled,10553.75,1055.38
BK100189,16561,2024-04-23,2024-05-01,2024-05-04,4,RT3,Tripster,4,Checked Out,11519.69,11519.69
BK100190,16561,2024-04-17,2024-05-01,2024-05-02,1,RT4,Logtrip,,Cancelled,19391.62,1939.16
BK100191,16561,2024-04-26,2024-05-01,2024-05-02,3,RT4,Tripster,3,Checked Out,19326.83,19326.83
BK100192,16562,2024-04-22,2024-05-01,2024-05-02,4,RT1,Booking.com,1,Checked Out,4603.94,4603.94
BK100193,16562,2024-04-29,2024-05-01,2024-05-03,3,RT1,Tripster,3,Checked Out,4326.56,4326.56
BK100194,16562,2024-04-29,2024-05-01,2024-05-02,4,RT1,JourneyHub,3,Checked Out,4688.38,4688.38
BK100195,16562,2024-04-24,2024-05-01,2024-05-02,1,RT1,Booking.com,,Cancelled,4327.35,432.74
BK100196,16562,2024-04-19,2024-05-01,2024-05-03,3,RT1,MakeMyTrip,5,Checked Out,4585.09,4585.09
BK100197,16562,2024-04-26,2024-05-01,2024-05-02,3,RT1,Booking.com,3,Checked Out,4672.23,4672.23
BK100198,16562,2024-04-19,2024-05-01,2024-05-03,3,RT1,MakeMyTrip,4,Checked Out,4703.56,4703.56
BK100199,16562,2024-04-20,2024-05-01,2024-05-02,4,RT1,MakeMyTrip,5,Checked Out,4546.82,4546.82
BK100200,16562,2024-04-27,2024-05-01,2024-05-04,2,RT1,Tripster,,Cancelled,4655.35,465.54
BK100201,16562,2024-04-21,2024-05-01,2024-05-04,3,RT1,Direct Offline,4,Checked Out,4564.45,4564.45
BK100202,16562,2024-04-24,2024-05-01,2024-05-04,1,RT1,MakeMyTrip,,Cancelled,4310.62,431.06
BK100203,16562,2024-04-17,2024-05-01,2024-05-03,1,RT1,MakeMyTrip,3,Checked Out,4447.03,4447.03
BK100204,16562,2024-04-23,2024-05-01,2024-05-02,3,RT1,Direct Offline,4,Checked Out,4584.35,4584.35
BK100205,16562,2024-04-18,2024-05-01,2024-05-04,4,RT1,Tripster,,Cancelled,4658.08,465.81
BK100206,16562,2024-04-17,2024-05-01,2024-05-04,3,RT1,JourneyHub,3,Checked Out,4462.09,4462.09
BK100207,16562,2024-04-25,2024-05-01,2024-05-02,4,RT1,JourneyHub,2,Checked Out,4583.55,4583.55
BK100208,16562,2024-04-27,2024-05-01,2024-05-03,3,RT1,Booking.com,4,Checked Out,4340.9,4340.9
BK100209,16562,2024-04-30,2024-05-01,2024-05-03,2,RT1,Logtrip,,No Show,4419.4,2209.7
BK100210,16562,2024-04-21,2024-05-01,2024-05-02,3,RT1,MakeMyTrip,,Cancelled,4584.75,458.48
BK100211,16562,2024-04-27,2024-05-01,2024-05-03,2,RT1,Booking.com,4,Checked Out,4299.24,4299.24
BK100212,16562,2024-04-18,2024-05-01,2024-05-03,4,RT1,MakeMyTrip,4,Checked Out,4496.56,4496.56
BK100213,16562,2024-04-19,2024-05-01,2024-05-03,4,RT2,Logtrip,,Cancelled,7314.26,731.43
BK100214,16562,2024-04-28,2024-05-01,2024-05-04,1,RT2,Booking.com,,No Show,7221.77,3610.89
BK100215,16562,2024-04-24,2024-05-01,2024-05-04,4,RT2,MakeMyTrip,4,Checked Out,7675.3,7675.3
BK100216,16562,2024-04-28,2024-05-01,2024-05-03,3,RT2,MakeMyTrip,1,Checked Out,7512.21,7512.21
BK100217,16562,2024-04-25,2024-05-01,2024-05-02,4,RT2,Tripster,5,Checked Out,7304.83,7304.83
BK100218,16562,2024-04-24,2024-05-01,2024-05-03,1,RT2,MakeMyTrip,,Cancelled,7476.19,747.62
BK100219,16562,2024-04-23,2024-05-01,2024-05-04,2,RT2,MakeMyTrip,,Cancelled,7719.48,771.95
BK100220,16562,2024-04-20,2024-05-01,2024-05-04,2,RT2,Tripster,4,Checked Out,7530.4,7530.4
BK100221,16562,2024-04-23,2024-05-01,2024-05-02,2,RT2,Tripster,4,Checked Out,7338.03,7338.03
BK100222,16562,2024-04-27,2024-05-01,2024-05-03,4,RT2,Logtrip,5,Checked Out,7560.12,7560.12
BK100223,16562,2024-04-27,2024-05-01,2024-05-03,2,RT2,Direct Offline,,Cancelled,7616.44,761.64
BK100224,16562,2024-04-24,2024-05-01,2024-05-02,4,RT2,Booking.com,2,Checked Out,7310.52,7310.52
BK100225,16562,2024-04-29,2024-05-01,2024-05-03,3,RT2,Booking.com,,Cancelled,7231.62,723.16
BK100226,16562,2024-04-17,2024-05-01,2024-05-02,2,RT2,MakeMyTrip,2,Checked Out,7329.79,7329.79
BK100227,16562,2024-04-24,2024-05-01,2024-05-03,1,RT2,Booking.com,4,Checked Out,7746.45,7746.45
BK100228,16562,2024-04-19,2024-05-01,2024-05-04,2,RT3,JourneyHub,3,Checked Out,11507.9,11507.9
BK100229,16562,2024-04-22,2024-05-01,2024-05-02,4,RT3,Direct Online,5,Checked Out,10671.64,10671.64
BK100230,16562,2024-04-27,2024-05-01,2024-05-02,2,RT3,Booking.com,,Cancelled,10599.04,1059.9
BK100231,16562,2024-04-23,2024-05-01,2024-05-03,4,RT3,Direct Online,,No Show,11171.3,5585.65
BK100232,16562,2024-04-24,2024-05-01,2024-05-03,2,RT3,Booking.com,,Cancelled,11429.2,1142.92
BK100233,16562,2024-04-23,2024-05-01,2024-05-03,3,RT3,Logtrip,5,Checked Out,11356.82,11356.82
